Epoch,SGD Loss,RMSprop Loss,Adam Loss
1,2.227892465937112,0.5148138233593532,0.49099914505601183
2,2.025048074437611,0.3800057088737803,0.3592532781490893
3,1.692630057141725,0.3478611615945154,0.32073592907711385
4,1.377672886289259,0.3276650437604644,0.2935883967734095
5,1.167070651613573,0.31084526310374994,0.27136611030585983
6,1.0289811606981607,0.2996286488314872,0.25621304609405715
7,0.935783053702637,0.2879191869413103,0.23977378766133842
8,0.8706392049153985,0.2807402351199945,0.22735350883639316
9,0.8231460734852342,0.27597973199446063,0.21578218594495294
10,0.7868919415768784,0.27002284644461516,0.20426976041340117
11,0.7578620453760314,0.2687985405627725,0.19523717955088438
12,0.7335486777428625,0.26041044859584966,0.18630040031887574
13,0.7124218621741988,0.25406844836911924,0.17491182407685943
14,0.6935316047498158,0.2497120757045141,0.16707185836933824
15,0.6763639279138813,0.24705764219990925,0.1607174003111528
16,0.6605943341308566,0.24611857820198987,0.1562928906453253
17,0.6459830669578968,0.23856330601009987,0.14858247341314104
18,0.6324273864788287,0.23476758907074485,0.14341582159307212
19,0.6198565931653163,0.2315684263306513,0.13303274179953756
20,0.6082143667918533,0.23267262344008316,0.12854932233897734
21,0.5974302485680529,0.22722838822402744,0.1245687202766919
22,0.5874455736707777,0.2275395494089452,0.12047548393117212
23,0.5781867163839625,0.22325860181930604,0.1186577390148632
24,0.5695901993177593,0.21524955447453425,0.11099721161898837
25,0.5615981155748306,0.221227782593766,0.1112390147027637
26,0.5541586205204413,0.22186077842071875,0.10768956025796277
27,0.5472226102214887,0.21694948239478348,0.100538550487368
28,0.5407478386786446,0.20741255821854765,0.09571644257920892
29,0.5346921712859098,0.20825448400700397,0.09789220578491942
30,0.5290183993672003,0.20750994890975927,0.09383444032067859
31,0.5236939554656747,0.20578619927517386,0.09236878215291623
32,0.5186986798353033,0.2026117051651737,0.08439893854398733
33,0.5140066700640009,0.20341813058725425,0.08558428856501503
34,0.5095903355556765,0.19844926101193308,0.08279823019121613
35,0.5054260560476196,0.20513185752289637,0.08068354479196087
36,0.5014933489882616,0.2013718856415197,0.07510257266816307
37,0.49777537122019316,0.19603123329778407,0.08209300432096063
38,0.49425092531737486,0.19987265070650115,0.07433495786699301
39,0.4909040016660304,0.19501051716784487,0.06980568361801229
40,0.4877184160800377,0.19266268043026233,0.0744407132986798
41,0.4846805981290874,0.18752702616298123,0.07021904778458289
42,0.4817774878032426,0.18896241228519153,0.06838057433783229
43,0.4790021043056364,0.18682524975714906,0.06904995340262172
44,0.4763437640438202,0.18616398549608904,0.06833339476340346
45,0.47379216670926444,0.18161711820971166,0.06351268378884169
46,0.4713367059795079,0.18804677418057822,0.06322336343448681
47,0.4689688855555774,0.18095736609084773,0.06295472821260471
48,0.4666893652666098,0.18211600449837761,0.06691069914343785
49,0.4644906839042076,0.18542072207116878,0.06759309956188579
50,0.462367203793546,0.17540607683217602,0.05914473769780961
